Unnamed: 0,Title,Rating,User count
0,Jurassic World,0.833333333,6
1,Mad Max: Fury Road,0.666666667,3
2,Insurgent,0.0,0
3,Star Wars: The Force Awakens,0.0,0
4,Furious 7,0.0,0
5,The Revenant,0.0,0
6,Terminator Genisys,0.0,0
7,The Martian,0.0,0
8,Minions,0.0,0
9,Inside Out,0.0,0
10,Spectre,0.0,0
11,Jupiter Ascending,0.0,0
12,Ex Machina,0.0,0
13,Pixels,0.0,0
14,Avengers: Age of Ultron,0.666666667,3
15,The Hateful Eight,0.0,0
16,Taken 3,0.0,0
17,Ant-Man,0.0,0
18,Cinderella,0.0,0
19,The Hunger Games: Mockingjay - Part 2,0.0,0
20,Tomorrowland,0.0,0
21,Southpaw,0.0,0
22,San Andreas,0.0,0
23,Fifty Shades of Grey,0.0,0
24,The Big Short,0.0,0
25,Mission: Impossible - Rogue Nation,0.0,0
26,Ted 2,0.0,0
27,Kingsman: The Secret Service,0.0,0
28,Spotlight,0.0,0
29,Maze Runner: The Scorch Trials,0.0,0
30,Mr. Holmes,0.0,0
31,Chappie,0.0,0
32,Pitch Perfect 2,0.0,0
33,Bridge of Spies,0.0,0
34,Goosebumps,0.0,0
35,Room,0.0,0
36,Solace,0.0,0
37,The Good Dinosaur,0.0,0
38,Run All Night,0.0,0
39,Brooklyn,0.0,0
40,Straight Outta Compton,0.0,0
41,The Last Witch Hunter,0.0,0
42,Steve Jobs,0.0,0
43,The Man from U.N.C.L.E.,0.0,0
44,The Age of Adaline,0.0,0
45,Hardcore Henry,0.0,0
46,Home,0.0,0
47,Paper Towns,0.0,0
48,Wild Card,0.0,0
49,The Lobster,0.0,0
50,Carol,0.0,0
51,The Intern,0.0,0
52,Everest,0.0,0
53,Joy,0.0,0
54,Point Break,0.0,0
55,Burnt,0.0,0
56,Self/less,0.0,0
57,Mortdecai,0.0,0
58,The Danish Girl,0.0,0
59,Blackhat,0.0,0
60,Sicario,0.0,0
61,Fantastic Four,0.0,0
62,The Witch,0.0,0
63,Spy,0.0,0
64,Focus,0.0,0
65,Hitman: Agent 47,0.0,0
66,In the Heart of the Sea,0.0,0
67,Survivor,0.0,0
68,Creed,0.0,0
69,Trainwreck,0.0,0
70,Eye in the Sky,0.0,0
71,Legend,0.0,0
72,Beyond the Reach,0.0,0
73,Pan,0.0,0
74,Mythica: The Darkspore,0.0,0
75,Me and Earl and the Dying Girl,0.0,0
76,The Peanuts Movie,0.0,0
77,Concussion,0.0,0
78,The Night Before,0.0,0
79,Knock Knock,0.0,0
80,The Longest Ride,0.0,0
81,Hotel Transylvania 2,0.0,0
82,Love the Coopers,0.0,0
83,The Walk,0.0,0
84,Tracers,0.0,0
85,Vacation,0.0,0
86,Poltergeist,0.0,0
87,Maggie,0.0,0
88,Equals,0.0,0
89,Child 44,0.0,0
90,The Gift,0.0,0
91,Daddy's Home,0.0,0
92,Mythica: The Necromancer,0.0,0
93,Vice,0.0,0
94,The Little Prince,0.0,0
95,Alvin and the Chipmunks: The Road Chip,0.0,0
96,The Dressmaker,0.0,0
97,The DUFF,0.0,0
98,Sinister 2,0.0,0
99,Paul Blart: Mall Cop 2,0.0,0
100,Frozen Fever,0.0,0
101,High-Rise,0.0,0
102,The Boy Next Door,0.0,0
103,Spooks: The Greater Good,0.0,0
104,Entourage,0.0,0
105,The Wedding Ringer,0.0,0
106,Scouts Guide to the Zombie Apocalypse,0.0,0
107,The Visit,0.0,0
108,Black Mass,0.0,0
109,Heist,0.0,0
110,Krampus,0.0,0
111,Dark Places,0.0,0
112,No Escape,0.0,0
113,Dope,0.0,0
114,American Ultra,0.0,0
115,Woman in Gold,0.0,0
116,The Scorpion King: The Lost Throne,0.0,0
117,Sisters,0.0,0
118,Project Almanac,0.0,0
119,Absolutely Anything,0.0,0
120,The Transporter Refueled,0.0,0
121,Crimson Peak,0.0,0
122,Everly,0.0,0
123,Magic Mike XXL,0.0,0
124,Paranormal Activity: The Ghost Dimension,0.0,0
125,Slow West,0.0,0
126,Trumbo,0.0,0
127,Secret in Their Eyes,0.0,0
128,Mistress America,0.0,0
129,The SpongeBob Movie: Sponge Out of Water,0.0,0
130,True Story,0.0,0
131,Max,0.0,0
132,Shaun the Sheep Movie,0.0,0
133,Louder Than Bombs,0.0,0
134,A Perfect Day,0.0,0
135,The Gunman,0.0,0
136,Unfriended,0.0,0
137,Hot Pursuit,0.0,0
138,Insidious: Chapter 3,0.0,0
139,Z for Zachariah,0.0,0
140,Dragonheart 3: The Sorcerer's Curse,0.0,0
141,The Lady in the Van,0.0,0
142,Victor Frankenstein,0.0,0
143,Brothers of the Wind,0.0,0
144,Anomalisa,0.0,0
145,Bone Tomahawk,0.0,0
146,Regression,0.0,0
147,Pawn Sacrifice,0.0,0
148,The Man Who Knew Infinity,0.0,0
149,Momentum,0.0,0
150,The Diary of a Teenage Girl,0.0,0
151,Pay the Ghost,0.0,0
152,The Voices,0.0,0
153,Last Knights,0.0,0
154,Il racconto dei racconti,0.0,0
155,Irrational Man,0.0,0
156,Queen of the Desert,0.0,0
157,Ricki and the Flash,0.0,0
158,Miss You Already,0.0,0
159,Kung Fury,0.0,0
160,The Perfect Guy,0.0,0
161,A Bigger Splash,0.0,0
162,While We're Young,0.0,0
163,Get Hard,0.0,0
164,Kidnapping Mr. Heineken,0.0,0
165,The Ridiculous 6,0.0,0
166,Kill Me Three Times,0.0,0
167,The 33,0.0,0
168,Suffragette,0.0,0
169,45 Years,0.0,0
170,We Are Your Friends,0.0,0
171,Barely Lethal,0.0,0
172,Macbeth,0.0,0
173,Extraction,0.0,0
174,Jenny's Wedding,0.0,0
175,Descendants,0.0,0
176,Tumbledown,0.0,0
177,Far from the Madding Crowd,0.0,0
178,The End of the Tour,0.0,0
179,The Second Best Exotic Marigold Hotel,0.0,0
180,Little Boy,0.0,0
181,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,0.0,0
182,Remember,0.0,0
183,Aloha,0.0,0
184,Accidental Love,0.0,0
185,Halo: The Fall of Reach,0.0,0
186,Our Brand Is Crisis,0.0,0
187,Into the Forest,0.0,0
188,The Invitation,0.0,0
189,The Benefactor,0.0,0
190,Open Season: Scared Silly,0.0,0
191,Cop Car,0.0,0
192,Mojave,0.0,0
193,Sleeping with Other People,0.0,0
194,Forsaken,0.0,0
195,Amy,0.0,0
196,Madame Bovary,0.0,0
197,The Hallow,0.0,0
198,Barbie in Princess Power,0.0,0
199,Howl,0.0,0
200,Freeheld,0.0,0
201,Man Up,0.0,0
202,Love,0.0,0
203,Truth,0.0,0
204,Return to Sender,0.0,0
205,Danny Collins,0.0,0
206,Rock the Kasbah,0.0,0
207,Fathers and Daughters,0.0,0
208,"Hello, My Name Is Doris",0.0,0
209,The Vatican Tapes,0.0,0
210,99 Homes,0.0,0
211,Hot Tub Time Machine 2,0.0,0
212,Knight of Cups,0.0,0
213,Manglehorn,0.0,0
214,Mississippi Grind,0.0,0
215,400 Days,0.0,0
216,Lava,0.0,0
217,Air,0.0,0
218,Riot,0.0,0
219,Septembers of Shiraz,0.0,0
220,Every Thing Will Be Fine,0.0,0
221,Extinction,0.0,0
222,The Childhood of a Leader,0.0,0
223,A Walk in the Woods,0.0,0
224,Clown,0.0,0
225,The Lazarus Effect,0.0,0
226,Batman vs. Robin,0.0,0
227,Careful What You Wish For,0.0,0
228,Racing Extinction,0.0,0
229,Unfinished Business,0.0,0
230,Lost River,0.0,0
231,Cobain: Montage of Heck,0.0,0
232,Hyena Road,0.0,0
233,Criminal Activities,0.0,0
234,Life,0.0,0
235,"McFarland, USA",0.0,0
236,Backtrack,0.0,0
237,X+Y,0.0,0
238,Home Sweet Hell,0.0,0
239,Ooops! Noah is Gone...,0.0,0
240,The Unspoken,0.0,0
241,Hot Girls Wanted,0.0,0
242,The Gallows,0.0,0
243,Dirty Weekend,0.0,0
244,I Spit on Your Grave III: Vengeance is Mine,0.0,0
245,Experimenter,0.0,0
246,By the Sea,0.0,0
247,Woodlawn,0.0,0
248,The Hollow,0.0,0
249,Visions,0.0,0
250,Beyond the Mask,0.0,0
251,I Am Here,0.0,0
252,Wild Horses,0.0,0
253,Pressure,0.0,0
254,Hidden,0.0,0
255,Hell & Back,0.0,0
256,Robot Overlords,0.0,0
257,The Man with the Iron Fists 2,0.0,0
258,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,0.0,0
259,Crown for Christmas,0.0,0
260,Spare Parts,0.0,0
261,The World Made Straight,0.0,0
262,Last Shift,0.0,0
263,Frankenstein,0.0,0
264,Cartel Land,0.0,0
265,Superfast!,0.0,0
266,Moonwalkers,0.0,0
267,Chi-Raq,0.0,0
268,Bad Asses on the Bayou,0.0,0
269,Strange Magic,0.0,0
270,Black or White,0.0,0
271,Dead Rising,0.0,0
272,Deathgasm,0.0,0
273,Justice League: Gods and Monsters,0.0,0
274,I Saw the Light,0.0,0
275,Good Kill,0.0,0
276,Southbound,0.0,0
277,Star Trek: Renegades,0.0,0
278,The Boy,0.0,0
279,Riley's First Date?,0.0,0
280,The Program,0.0,0
281,Lila & Eve,0.0,0
282,The Final Girls,0.0,0
283,He Never Died,0.0,0
284,A Very Murray Christmas,0.0,0
285,Kill Your Friends,0.0,0
286,Battle For SkyArk,0.0,0
287,Jem and the Holograms,0.0,0
288,The Adderall Diaries,0.0,0
289,Grizzly,0.0,0
290,Where to Invade Next,0.0,0
291,Beasts of No Nation,0.0,0
292,A Christmas Horror Story,0.0,0
293,Sunset Song,0.0,0
294,Synchronicity,0.0,0
295,12 Gifts of Christmas,0.0,0
296,The Pack,0.0,0
297,Demonic,0.0,0
298,The Girl in the Photographs,0.0,0
299,The Legend of Barney Thomson,0.0,0
300,The Duke of Burgundy,0.0,0
301,88,0.0,0
302,The Girl in the Book,0.0,0
303,Avengers Grimm,0.0,0
304,The D Train,0.0,0
305,The Lion Guard: Return of the Roar,0.0,0
306,A Royal Night Out,0.0,0
307,Parallels,0.0,0
308,Born to Be Blue,0.0,0
309,The Marine 4: Moving Target,0.0,0
310,Tales of Halloween,0.0,0
311,Blunt Force Trauma,0.0,0
312,Operator,0.0,0
313,The Human Centipede 3 (Final Sequence),0.0,0
314,Spring,0.0,0
315,The Intruders,0.0,0
316,We Are Still Here,0.0,0
317,Monster High: Haunted,0.0,0
318,3-Headed Shark Attack,0.0,0
319,Navy Seals vs. Zombies,0.0,0
320,Wrecker,0.0,0
321,The Escort,0.0,0
322,Martyrs,0.0,0
323,Uncanny,0.0,0
324,Bad Hair Day,0.0,0
325,Area 51,0.0,0
326,San Andreas Quake,0.0,0
327,The Runner,0.0,0
328,Advantageous,0.0,0
329,Partisan,0.0,0
330,R.L. Stine's Monsterville: The Cabinet of Souls,0.0,0
331,Strangerland,0.0,0
332,Ashby,0.0,0
333,Beautiful & Twisted,0.0,0
334,Ronaldo,0.0,0
335,Going Clear: Scientology and the Prison of Belief,0.0,0
336,Zipper,0.0,0
337,War Pigs,0.0,0
338,Turbo Kid,0.0,0
339,Barbie in Rock 'N Royals,0.0,0
340,Circle,0.0,0
341,Monkey Kingdom,0.0,0
342,Joe Dirt 2: Beautiful Loser,0.0,0
343,Minions: The Competition,0.0,0
344,I'll See You in My Dreams,0.0,0
345,Jesse Stone: Lost in Paradise,0.0,0
346,Steve Jobs: The Man in the Machine,0.0,0
347,Babysitter's Black Book,0.0,0
348,The Ones Below,0.0,0
349,Tremors 5: Bloodlines,0.0,0
350,Captive,0.0,0
351,Terminus,0.0,0
352,Andron,0.0,0
353,How to Plan an Orgy in a Small Town,0.0,0
354,Freaks of Nature,0.0,0
355,Reversal,0.0,0
356,Batman Unlimited: Monster Mayhem,0.0,0
357,The Lovers,0.0,0
358,Holding the Man,0.0,0
359,Harbinger Down,0.0,0
360,Batman Unlimited: Animal Instincts,0.0,0
361,Entertainment,0.0,0
362,Meadowland,0.0,0
363,The Stanford Prison Experiment,0.0,0
364,The Girl King,0.0,0
365,Bessie,0.0,0
366,The Atticus Institute,0.0,0
367,The Hoarder,0.0,0
368,I Smile Back,0.0,0
369,Oddball,0.0,0
370,Meru,0.0,0
371,Sanjay's Super Team,0.0,0
372,Learning to Drive,0.0,0
373,Christmas Eve,0.0,0
374,The Sisterhood of Night,0.0,0
375,Sharknado 3: Oh Hell No!,0.0,0
376,12 Rounds 3: Lockdown,0.0,0
377,Hitting the Apex,0.0,0
378,Club Life,0.0,0
379,Cleveland Abduction,0.0,0
380,90 Minutes in Heaven,0.0,0
